Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
202;[128, 128, 128];64;0.9;0.1;2000;0;0.8350000000000002;0.251274528929792
203;[128, 128, 128];64;0.9;0.1;20000;0;0.7069999999999999;0.21604011973088083
204;[128, 128, 128];64;0.99;0.0001;200;0;0.7215;0.2993516141411115
205;[128, 128, 128];64;0.99;0.0001;2000;0;0.6849999999999999;0.18158254933286463
206;[128, 128, 128];64;0.99;0.0001;20000;0;0.8244999999999999;0.21198073811866333
207;[128, 128, 128];64;0.99;0.001;200;0;0.791;0.14389039038255627
208;[128, 128, 128];64;0.99;0.001;2000;0;0.7055;0.29225607112789137
209;[128, 128, 128];64;0.99;0.001;20000;0;0.7635;0.22835218900247534
210;[128, 128, 128];64;0.99;0.01;200;0;0.768;0.26919839854237204
211;[128, 128, 128];64;0.99;0.01;2000;0;0.7934999999999999;0.28815553284834067
212;[128, 128, 128];64;0.99;0.01;20000;0;0.695;0.3439153642653637
213;[128, 128, 128];64;0.99;0.1;200;0;0.7685000000000001;0.2557347801488444
214;[128, 128, 128];64;0.99;0.1;2000;0;0.9599999999999997;0.264921371982959
215;[128, 128, 128];64;0.99;0.1;20000;0;0.9305;0.297745696862272
